APPEND	Kompletterar innehållet i en fil.
ERR$	ERR$ är ren funktion som ger det felmeddelande vars kod man skickar in som argument. Tillsammans med ER ger ERR$ en beskrivning av det senast inträffade felet.
EXIT	Används mellan DO och LOOP. Kommandot lämnar en pågående iteration som öppnats med DO och fortsätter exekveringen efter LOOP.
FILTER	Konfigurerar ljudchipets (SID) filterparametrar. Filter tar parametrar som styr frekvens, filtertyp och resonans.
GETKEY	Tar en lista med variabler som argument, och sparar en tangenttryckning i varje variabel.
GO64	Kommandot växlar till Commodore 64-läge, så att mjukvara för Commodore 64 kan köras. Se avsnitt nedan.
GRAPHIC	Väljer grafikläge (textläge, bitmapsläge, med flera).
GSHAPE	Hämtar grafikdata från en strängvariabel (som sparats med SSHAPE) och ritar ut den på skärmen.
HEADER	Formaterar en floppydisk.
HELP	Om ett program bryts på grund av programkörningsfel, visar HELP den felaktiga raden.
HEX$	Tar ett heltal och ger en sträng innehållande ett hexadecimalt tal av motsvarande värde. HEX$(10) ger A. Den funktion som konverterar tillbaka till decimal heter DEC.
INSTR	Ger en strängs position i en annan sträng.
JOY	Ger aktuell riktning för valfri joystick.
KEY	Visar eller kopplar kommandon till funktionstangenterna (F1 till F8).
LOCATE	Placerar pixelmarkören på angiven plats, som kan användas för en ritoperation (till exempel DRAW).
LOOP	Stänger antingen en evighetsiteration, en 0-till-flera-iteration eller en 1-till-flera-iteration, som öppnats med DO. Tillsammans med WHILE eller UNTIL är iterationen av 1-till-flera-typ, och ensamt är den antingen en evighetsiteration eller en 0-till-flera-iteration, beroende på vad som följer efter DO, om något.
MONITOR	Startar den inbyggda maskinkodsmonitorn.
MOVSPR	Positionerar eller flyttar en sprite på skärmen.
PAINT	Fyller en area, avgränsad av pixlar, med en färg.
PEN	Ger X- och Y-positionen för ljuspennan (som är ett pekdon för CRT-skärmar).
PLAY	Spelar upp musik som beskrivs av en textsträng.
POINTER	Ger minnesadressen för en angiven variabel.
POT	Läser av paddelns position. (En paddel är en ratt som används för analog styrning i två riktningar, till skillnad från en styrspak som används för digital styrning i fyra riktningar.)
PRINT USING	Skriver ut formaterad text.
PUDEF	Anger val av symboler och skiljetecken för PRINT USING.
RCLR	Läser av aktuell färgpalett för olika grafiklägen.
RDOT	Läser grafikmarkörens position och underliggande färg.
RECORD	Placerar filpekaren när du arbetar med en öppen sekventiell fil.
RENAME	Ändrar namnet på en fil på disk.
RESUME	Används för felhantering i runtime-läge. Kommandot hoppar till en önskad rad efter att ett fångat fel (TRAP) är hanterat.
RGR	Håller aktuellt skärmläge (0-5).
RREG	Läser innehållet i processorns ackumulator, statusflaggor och register.
RSPCOLOR	För en sprite i flerfärgsläge ger RSPCOLOR information om färg 1 eller 2.
RSPPOS	Ger information om position och hastighet för valfri sprite.
RSPRITE	Ger information om inställningar för valfri sprite.
RWINDOW	Ger information om aktuellt textfönster.
SCALE	Slår på och/eller ställer in grafikskalning, eller stänger av grafikskalning.
SCNCLR	Rensar skärmen från text (eller grafik, om så önskas).
SCRATCH	Raderar en fil från en diskett.
SLEEP	Pausar BASIC-programmet i ett önskat antal sekunder.
SOUND	Spelar en ljudeffekt.
SPRCOLOR	Anger vilken färg/vilka färger en sprite ska visas med.
SPRDEF	Startar Commodore 128:s inbyggda sprite-editor.
SPRITE	Slår på och eller konfigurerar en sprite, eller slår av en sprite.
SPRSAV	Kopierar pixeldata i en strängvariabel till en av åtta tillgängliga sprites.
SSHAPE	Sparar pixeldata i en strängvariabel, som sedan kan ritas ut med GSHAPE.
TEMPO	Anger hur snabbt musik spelas av PLAY-kommandot. 0 är långsammast och 255 är snabbast.
TRAP	TRAP, TRON och TROFF är kommandon för felsökning (debugging). Kommandot TRAP hoppar till ett angivet radnummer i händelse av att ett fel uppstår.
TROFF	TROFF inaktiverar TRON.
TRON	TRON aktiverar felsökningsläge, vilket innebär att Commodore 128 för varje rad som exekveras, skriver ut radnumret för raden i fråga. Felsökningsläget inaktiveras med TROFF.
VOL	Anger ljudstyrkan för nästa ljud som spelas. VOL påverkar SOUND och PLAY.
WHILE	En iteration som exekverar så länge ett binärt uttryck utvärderas som sant. WHILE avslutas med WEND.
WIDTH	Anger horisontell bredd på vektorgrafik (som till exempel LINE eller CIRCLE). Kan vara 1 (enkel bredd) eller 2 (dubbel bredd).
XOR	En logisk binär operator som ger sant som svar om operanderna är olika. Falskt xor falskt är falskt, sant xor sant är falskt, sant xor falskt är sant och falskt xor sant är sant.
